ts_iso,ball_x_mm,ball_y_mm,ball_conf,cup_x_mm,cup_y_mm,cup_score,cup_yolo_conf,pick_ok,throw_ok,notes
2026-01-24T13:08:07,587.8,1031.3,0.912,416.5,270.5,3.837,0.669,True,True,
2026-01-24T13:08:13,587.8,1031.3,0.856,321.6,266.6,3.828,0.687,True,True,
2026-01-24T13:08:19,587.8,1031.3,0.895,323.5,266.6,3.754,0.692,True,True,
2026-01-24T13:11:04,588.3,1036.4,0.909,418.4,270.5,4.005,0.705,True,True,
2026-01-24T13:11:10,588.3,1036.4,0.915,418.4,270.5,4.003,0.717,True,True,
2026-01-24T13:11:16,587.8,1031.3,0.893,418.4,270.5,4.002,0.703,True,True,
2026-01-24T13:11:22,587.8,1031.3,0.901,418.4,270.5,4.011,0.702,True,True,
2026-01-24T13:11:28,587.8,1031.3,0.871,435.2,270.8,3.875,0.695,True,True,
2026-01-24T13:11:34,587.8,1031.3,0.877,418.4,270.5,4.002,0.677,True,True,
2026-01-24T13:11:40,587.8,1031.3,0.881,418.4,270.5,3.981,0.681,True,True,
2026-01-24T13:11:45,587.8,1031.3,0.911,529.4,274.8,3.727,0.738,True,True,
2026-01-24T13:11:51,588.3,1036.4,0.877,418.4,270.5,3.997,0.696,True,True,
2026-01-24T13:11:57,588.3,1036.4,0.910,435.0,266.2,3.836,0.685,True,True,
2026-01-24T13:22:45,587.8,1031.3,0.912,435.0,266.2,3.838,0.712,True,True,
2026-01-24T13:22:57,583.3,1011.1,0.415,418.4,270.5,4.012,0.755,True,True,
2026-01-24T13:23:14,249.6,984.1,0.875,418.4,270.5,4.009,0.746,True,True,
2026-01-24T13:23:23,227.9,987.9,0.909,433.1,266.2,3.778,0.734,True,True,
2026-01-24T13:23:32,617.2,912.9,0.867,327.2,266.7,3.767,0.656,True,True,
2026-01-24T13:23:41,617.2,912.9,0.812,529.4,274.8,3.713,0.734,True,True,
2026-01-24T13:23:49,617.2,912.9,0.817,316.1,266.5,3.696,0.608,True,True,
2026-01-24T13:23:58,617.2,912.9,0.814,418.4,270.5,3.987,0.696,True,True,
2026-01-24T13:24:07,617.2,912.9,0.696,435.0,266.2,3.838,0.704,True,True,
2026-01-24T13:24:15,617.2,912.9,0.814,418.4,270.5,3.952,0.688,True,True,
