epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,13.7495,1.43147,4.21509,1.13936,0.0095,0.17825,0.00845,0.00395,0.91086,4.3583,0.95695,0.00010002,3.334e-05,0.00010002,3.334e-05,0.00010002,3.334e-05,0.00010002,3.334e-05
2,26.3991,1.47576,4.11756,1.07929,0.01012,0.17951,0.00873,0.00453,0.90251,4.24641,0.95801,0.000247575,8.25248e-05,0.000247575,8.25248e-05,0.000247575,8.25248e-05,0.000247575,8.25248e-05
3,38.6526,1.35035,4.14237,1.12011,0.01342,0.22997,0.01234,0.00672,0.86263,3.95525,0.94919,0.000392158,0.000130719,0.000392158,0.000130719,0.000392158,0.000130719,0.000392158,0.000130719
4,50.8675,1.4134,3.56183,1.01674,0.0215,0.34635,0.02824,0.01824,0.80338,3.49154,0.93129,0.000533772,0.000177924,0.000533772,0.000177924,0.000533772,0.000177924,0.000533772,0.000177924
5,63.1657,1.21219,2.98089,0.95589,0.15464,0.17956,0.09729,0.06989,0.7403,2.8425,0.91274,0.000672414,0.000224138,0.000672414,0.000224138,0.000672414,0.000224138,0.000672414,0.000224138
6,75.2395,1.10685,2.15518,0.93126,0.2897,0.26217,0.22119,0.17366,0.69613,2.26995,0.89957,0.000808087,0.000269362,0.000808087,0.000269362,0.000808087,0.000269362,0.000808087,0.000269362
7,87.348,1.01752,1.74956,0.91059,0.32213,0.35586,0.35618,0.29452,0.67862,1.59953,0.89288,0.000940788,0.000313596,0.000940788,0.000313596,0.000940788,0.000313596,0.000940788,0.000313596
8,99.4065,0.86506,1.42827,0.97091,0.36707,0.42977,0.39522,0.33323,0.6595,1.27661,0.88398,0.00107052,0.00035684,0.00107052,0.00035684,0.00107052,0.00035684,0.00107052,0.00035684
9,111.622,0.76385,1.24199,0.93795,0.40805,0.45994,0.42849,0.3589,0.64634,1.03206,0.87565,0.00119728,0.000399093,0.00119728,0.000399093,0.00119728,0.000399093,0.00119728,0.000399093
10,123.969,0.82564,1.02757,0.9228,0.42566,0.42672,0.43467,0.36942,0.64883,1.00816,0.87413,0.00132107,0.000440356,0.00132107,0.000440356,0.00132107,0.000440356,0.00132107,0.000440356
