epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,24.0903,1.09573,9.08514,0.87492,0.00083,0.27273,0.00053,0.0002,1.12812,6.45753,0.85662,0.00066,0.00022,0.00066,0.00022,0.00066,0.00022,0.00066,0.00022
2,46.9862,0.92757,8.43731,0.82426,0.00167,0.54545,0.00129,0.00089,0.96276,6.77356,0.82595,0.00136292,0.000454308,0.00136292,0.000454308,0.00136292,0.000454308,0.00136292,0.000454308
3,69.5677,0.9001,8.16292,0.80155,0.00167,0.54545,0.00131,0.0011,0.96223,6.85311,0.82844,0.00204802,0.000682675,0.00204802,0.000682675,0.00204802,0.000682675,0.00204802,0.000682675
4,92.1746,0.96894,9.20976,0.81987,0.00222,0.72727,0.00193,0.00132,0.9272,7.08939,0.80426,0.00271531,0.000905103,0.00271531,0.000905103,0.00271531,0.000905103,0.00271531,0.000905103
5,114.783,0.97041,7.95847,0.81778,0.00167,0.54545,0.00132,0.00103,0.90317,6.87056,0.7888,0.00336477,0.00112159,0.00336477,0.00112159,0.00336477,0.00112159,0.00336477,0.00112159
6,137.388,0.97337,8.53797,0.85994,0.0025,0.81818,0.24319,0.17429,0.92761,6.64977,0.79291,0.00399641,0.00133214,0.00399641,0.00133214,0.00399641,0.00133214,0.00399641,0.00133214
7,159.94,0.9469,6.89369,0.81638,0.0025,0.81818,0.24319,0.17429,0.92761,6.64977,0.79291,0.00461024,0.00153675,0.00461024,0.00153675,0.00461024,0.00153675,0.00461024,0.00153675
8,182.569,0.94254,5.68246,0.84223,1,0.53613,0.81869,0.6463,0.9284,6.2731,0.80277,0.00520624,0.00173541,0.00520624,0.00173541,0.00520624,0.00173541,0.00520624,0.00173541
9,205.203,0.95209,6.06094,0.81865,1,0.96976,0.995,0.77537,0.95851,5.23146,0.82724,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
10,227.787,0.92347,5.25819,0.8418,1,0.9937,0.995,0.78903,1.00704,4.82486,0.8508,0.00533175,0.00177725,0.00533175,0.00177725,0.00533175,0.00177725,0.00533175,0.00177725
11,250.445,0.91185,4.39078,0.83153,1,0.9937,0.995,0.78903,1.00704,4.82486,0.8508,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525
12,273.147,0.96537,5.25484,0.85699,1,0.99682,0.995,0.76331,1.03806,4.28021,0.86226,0.00518325,0.00172775,0.00518325,0.00172775,0.00518325,0.00172775,0.00518325,0.00172775
13,295.771,0.92865,4.7468,0.83491,1,0.99812,0.995,0.76527,1.0379,4.15841,0.86128,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
14,318.377,0.85992,4.80552,0.79751,1,0.99839,0.995,0.79224,1.01344,4.44195,0.85863,0.00503475,0.00167825,0.00503475,0.00167825,0.00503475,0.00167825,0.00503475,0.00167825
15,341.007,0.86709,6.09793,0.8329,1,0.99839,0.995,0.79224,1.01344,4.44195,0.85863,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
16,363.654,0.88509,4.57035,0.82402,1,0.99775,0.995,0.76598,1.05201,4.54006,0.86615,0.00488625,0.00162875,0.00488625,0.00162875,0.00488625,0.00162875,0.00488625,0.00162875
17,386.29,0.93101,5.35137,0.82253,1,0.99737,0.995,0.76754,1.0245,4.23707,0.86408,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
18,408.912,0.87503,5.20288,0.84183,1,0.99674,0.995,0.75046,1.06703,4.04161,0.87367,0.00473775,0.00157925,0.00473775,0.00157925,0.00473775,0.00157925,0.00473775,0.00157925
19,431.476,0.95485,4.87553,0.84089,1,0.99674,0.995,0.75046,1.06703,4.04161,0.87367,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545
20,454.036,0.80438,3.85161,0.84994,1,0.99598,0.995,0.76925,1.04278,3.55436,0.87419,0.00458925,0.00152975,0.00458925,0.00152975,0.00458925,0.00152975,0.00458925,0.00152975
21,476.586,0.8817,5.00131,0.84844,1,0.99555,0.995,0.77062,1.01004,3.51401,0.86573,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
22,499.13,0.81652,4.62231,0.81854,1,0.99553,0.995,0.79883,0.90927,3.34691,0.84931,0.00444075,0.00148025,0.00444075,0.00148025,0.00444075,0.00148025,0.00444075,0.00148025
23,521.751,0.84855,3.32816,0.84698,1,0.99553,0.995,0.79883,0.90927,3.34691,0.84931,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555
