epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,32.4246,2.28922,21.2848,0.91746,0.00021,0.07143,0.00011,7e-05,1.13026,14.326,0.84339,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032
2,64.2396,1.77195,18.0964,0.81236,0.00021,0.07143,0.00011,8e-05,1.24476,14.6418,0.83236,0.0019604,0.000653466,0.0019604,0.000653466,0.0019604,0.000653466,0.0019604,0.000653466
3,95.3667,1.94677,19.0579,0.8043,0.00063,0.21429,0.00038,0.00027,1.20623,13.2806,0.82298,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802
4,126.815,1.66042,18.3609,0.83256,0.00083,0.28571,0.00054,0.00028,1.16211,13.6263,0.81932,0.00390061,0.0013002,0.00390061,0.0013002,0.00390061,0.0013002,0.00390061,0.0013002
5,158.149,1.76244,15.1981,0.79087,0.00021,0.07143,0.00011,9e-05,1.1722,13.6657,0.80903,0.00484042,0.00161347,0.00484042,0.00161347,0.00484042,0.00161347,0.00484042,0.00161347
6,189.473,1.6882,16.9802,0.76351,1,0.418,0.58583,0.39865,1.20491,13.2736,0.82199,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,220.738,1.52392,14.6242,0.74893,0.83943,0.64286,0.75304,0.48549,1.25325,12.7436,0.84229,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,252.087,1.79928,13.7485,0.81641,0.96939,0.64286,0.79313,0.44424,1.4528,12.7378,0.85269,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,283.718,1.79536,13.801,0.80246,0.98125,0.71429,0.83702,0.5157,1.39838,11.4243,0.85641,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,315.405,1.69879,13.5884,0.76623,0.99595,0.78571,0.87761,0.52983,1.30844,10.9749,0.84803,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
